Year;Leningradskaya;Pskovskaya;Novgorodskaya;Tverskaya;Moskovskaya
1990;-1.5;-3.2;-1.8;-3.4;-2
2000;-12.1;-14.7;-12.4;-13.5;-10
2010;-7;-10.7;-8.7;-9.2;-4.5
2020;-7.8;-11;-10;-10.5;-4.2
2022;-6.9;-11;-9.7;-10.6;-3.1
