Year;Leningradskaya;Pskovskaya;Novgorodskaya;Tverskaya;Moskovskaya
1990;68.3;68.1;67.6;68.3;69.6
2000;64;62;63.5;63;65.5
2010;68.09;64.59;65.04;65.9;69.13
2020;71.53;69.13;69.59;69.76;71.67
2022;73.33;68.95;70.45;69.94;73.78
