Year;Leningradskaya;Pskovskaya;Novgorodskaya;Tverskaya;Moskovskaya
1990;12.5;15.1;14.1;14.8;12.2
1995;18.2;20.8;19.7;19.4;17.6
2000;18.9;22;19.8;20.8;17.3
2005;19.9;24.6;22.5;23;17.1
2010;15.8;21.2;20;20.1;15.4
2015;14;18.2;17.5;17.7;13
2020;14.9;19;18.2;18.5;14.5
2021;16.9;21.7;22.3;21.5;16.3
2022;12.9;18.3;17.1;17.9;11.7
